CITY 1,CITY 2,PASSENGERS TO CITY 2,CITY 1 ID,CITY 2 ID,lat1,long1,lat2,long2
BHOPAL,GOA,4386,17,41,23.2599,77.4126,15.2993,74.124
BHOPAL,HYDERABAD,25838,17,47,23.2599,77.4126,17.385,78.4867
BHOPAL,INDORE,0,17,49,23.2599,77.4126,22.7196,75.8577
BHOPAL,JAIPUR,9893,17,53,23.2599,77.4126,26.9124,75.7873
BHOPAL,KOCHI,5565,17,70,23.2599,77.4126,9.9312,76.2673
BHOPAL,KOLKATA,164,17,72,23.2599,77.4126,22.5726,88.3639
BHOPAL,LUCKNOW,12,17,79,23.2599,77.4126,26.8467,80.9462
BHOPAL,MUMBAI,161703,17,85,23.2599,77.4126,19.076,72.8777
BHOPAL,NAGPUR,181,17,87,23.2599,77.4126,21.1458,79.0882
BHOPAL,RAIPUR,17883,17,96,23.2599,77.4126,21.2514,81.6296
BHOPAL,UDAIPUR,6360,17,118,23.2599,77.4126,24.5854,73.7125
BHUBANESWAR,CHANDIGARH,4040,18,23,20.2961,85.8245,30.7333,76.7794
BHUBANESWAR,CHENNAI,100285,18,24,20.2961,85.8245,13.0827,80.2707
BHUBANESWAR,DABOLIM,0,18,28,20.2961,85.8245,15.3801,73.8341
BHUBANESWAR,DELHI,593302,18,32,20.2961,85.8245,28.6139,77.209
BHUBANESWAR,GOA,5742,18,41,20.2961,85.8245,15.2993,74.124
BHUBANESWAR,GUWAHATI,10097,18,44,20.2961,85.8245,26.1445,91.7362
BHUBANESWAR,HYDERABAD,187712,18,47,20.2961,85.8245,17.385,78.4867
BHUBANESWAR,IMPHAL,0,18,48,20.2961,85.8245,24.817,93.9368
BHUBANESWAR,INDORE,1,18,49,20.2961,85.8245,22.7196,75.8577
BHUBANESWAR,JAIPUR,18820,18,53,20.2961,85.8245,26.9124,75.7873
BHUBANESWAR,JAMSHEDPUR,1509,18,57,20.2961,85.8245,22.8056,86.1711
BHUBANESWAR,JEYPORE,2575,18,58,20.2961,85.8245,18.8564,82.5644
BHUBANESWAR,JHARSUGUDA,13124,18,59,20.2961,85.8245,21.868,84.0222
BHUBANESWAR,KOCHI,1175,18,70,20.2961,85.8245,9.9312,76.2673
BHUBANESWAR,KOLKATA,303651,18,72,20.2961,85.8245,22.5726,88.3639
BHUBANESWAR,LUCKNOW,10787,18,79,20.2961,85.8245,26.8467,80.9462
BHUBANESWAR,MUMBAI,324271,18,85,20.2961,85.8245,19.076,72.8777
BHUBANESWAR,PATNA,29539,18,92,20.2961,85.8245,25.5941,85.1376
BHUBANESWAR,PUNE,93427,18,95,20.2961,85.8245,18.5204,73.8567
BHUBANESWAR,RAIPUR,20574,18,96,20.2961,85.8245,21.2514,81.6296
BHUBANESWAR,RANCHI,15309,18,100,20.2961,85.8245,23.3441,85.3096
BHUBANESWAR,ROURKELA,13721,18,101,20.2961,85.8245,22.2604,84.8536
BHUBANESWAR,UTKELA,173,18,119,20.2961,85.8245,20.1463,83.1822
BHUBANESWAR,VARANASI,22540,18,122,20.2961,85.8245,25.3176,82.9739
BHUJ,DIU,0,19,37,23.2531,69.6693,20.7141,70.9822
BHUJ,MUMBAI,17377,19,85,23.2531,69.6693,19.076,72.8777
BIKANER,DELHI,3118,21,32,28.0229,73.3119,28.6139,77.209
BILASPUR,DELHI,999,22,32,22.0807,82.15,28.6139,77.209
BILASPUR,HYDERABAD,5,22,47,22.0807,82.15,17.385,78.4867
BILASPUR,INDORE,1498,22,49,22.0807,82.15,22.7196,75.8577
BILASPUR,JABALPUR,6533,22,51,22.0807,82.15,23.1815,79.9864
CHANDIGARH,CHENNAI,54846,23,24,30.7333,76.7794,13.0827,80.2707
CHANDIGARH,DABOLIM,61103,23,28,30.7333,76.7794,15.3801,73.8341
CHANDIGARH,DELHI,390482,23,32,30.7333,76.7794,28.6139,77.209
CHANDIGARH,DHARAMSALA,5388,23,34,30.7333,76.7794,32.219,76.3234
CHANDIGARH,GOA,7779,23,41,30.7333,76.7794,15.2993,74.124
CHANDIGARH,GORAKHPUR,0,23,43,30.7333,76.7794,26.7606,83.3732
CHANDIGARH,GUWAHATI,11546,23,44,30.7333,76.7794,26.1445,91.7362
CHANDIGARH,HYDERABAD,98450,23,47,30.7333,76.7794,17.385,78.4867
CHANDIGARH,INDORE,24898,23,49,30.7333,76.7794,22.7196,75.8577
CHANDIGARH,JAIPUR,64747,23,53,30.7333,76.7794,26.9124,75.7873
CHANDIGARH,KOCHI,2708,23,70,30.7333,76.7794,9.9312,76.2673
CHANDIGARH,KOLKATA,40008,23,72,30.7333,76.7794,22.5726,88.3639
CHANDIGARH,KULLU,4829,23,74,30.7333,76.7794,31.9566,77.1095
CHANDIGARH,LEH,21708,23,77,30.7333,76.7794,34.1526,77.5771
CHANDIGARH,LUCKNOW,41028,23,79,30.7333,76.7794,26.8467,80.9462
CHANDIGARH,MUMBAI,55923,23,85,30.7333,76.7794,19.076,72.8777
CHANDIGARH,PATNA,40981,23,92,30.7333,76.7794,25.5941,85.1376
CHANDIGARH,PUNE,56800,23,95,30.7333,76.7794,18.5204,73.8567
CHANDIGARH,RANCHI,0,23,100,30.7333,76.7794,23.3441,85.3096
CHANDIGARH,SRINAGAR,99449,23,110,30.7333,76.7794,34.0837,74.7973
CHENNAI,COIMBATORE,439198,24,25,13.0827,80.2707,11.0168,76.9558
CHENNAI,CUDDAPAH,3694,24,27,13.0827,80.2707,14.4786,78.8236
CHENNAI,DABOLIM,71343,24,28,13.0827,80.2707,15.3801,73.8341
CHENNAI,DARBHANGA,2697,24,29,13.0827,80.2707,26.1522,85.896
CHENNAI,DEHRA DUN,4204,24,30,13.0827,80.2707,30.3165,78.0322
CHENNAI,DEHRADUN,5737,24,31,13.0827,80.2707,30.3165,78.0322
CHENNAI,DELHI,1141285,24,32,13.0827,80.2707,28.6139,77.209
CHENNAI,DHARAMSALA,15,24,34,13.0827,80.2707,32.219,76.3234
CHENNAI,DIBRUGARH,9990,24,35,13.0827,80.2707,27.4728,94.9119
CHENNAI,DURGAPUR,43528,24,38,13.0827,80.2707,23.5505,87.2885
CHENNAI,GOA,15197,24,41,13.0827,80.2707,15.2993,74.124
CHENNAI,GORAKHPUR,86,24,43,13.0827,80.2707,26.7606,83.3732
CHENNAI,GUWAHATI,161175,24,44,13.0827,80.2707,26.1445,91.7362
CHENNAI,HUBLI,18985,24,46,13.0827,80.2707,15.3647,75.1239
CHENNAI,HYDERABAD,665005,24,47,13.0827,80.2707,17.385,78.4867
CHENNAI,INDORE,54940,24,49,13.0827,80.2707,22.7196,75.8577
CHENNAI,JAIPUR,58591,24,53,13.0827,80.2707,26.9124,75.7873
CHENNAI,JODHPUR,58144,24,60,13.0827,80.2707,26.2389,73.0243
CHENNAI,KADAPA,2085,24,62,13.0827,80.2707,14.4674,78.8242
CHENNAI,KANNUR,23611,24,65,13.0827,80.2707,11.8745,75.3704
CHENNAI,KANPUR,2347,24,66,13.0827,80.2707,26.4499,80.3319
CHENNAI,KOCHI,284879,24,70,13.0827,80.2707,9.9312,76.2673
CHENNAI,KOLKATA,424148,24,72,13.0827,80.2707,22.5726,88.3639
CHENNAI,KOZHIKODE,42719,24,73,13.0827,80.2707,11.2588,75.7804
CHENNAI,KURNOOL,6175,24,75,13.0827,80.2707,15.8281,78.0373
CHENNAI,LUCKNOW,46879,24,79,13.0827,80.2707,26.8467,80.9462
CHENNAI,MADURAI,203445,24,81,13.0827,80.2707,9.9252,78.1198
CHENNAI,MANGALORE,25788,24,83,13.0827,80.2707,12.9141,74.856
CHENNAI,MUMBAI,215170,24,85,13.0827,80.2707,19.076,72.8777
CHENNAI,MYSORE,25132,24,86,13.0827,80.2707,12.2958,76.6394
CHENNAI,NAGPUR,33883,24,87,13.0827,80.2707,21.1458,79.0882
CHENNAI,NASIK,1205,24,88,13.0827,80.2707,19.9975,73.7898
CHENNAI,PATNA,55654,24,92,13.0827,80.2707,25.5941,85.1376
CHENNAI,PORT BLAIR,232284,24,94,13.0827,80.2707,11.6234,92.7265
CHENNAI,PUNE,282131,24,95,13.0827,80.2707,18.5204,73.8567
CHENNAI,RAIPUR,24703,24,96,13.0827,80.2707,21.2514,81.6296
CHENNAI,RAJAHMUNDRY,21832,24,97,13.0827,80.2707,17.6868,83.2185
CHENNAI,RANCHI,59248,24,100,13.0827,80.2707,23.3441,85.3096
CHENNAI,SALEM,3845,24,103,13.0827,80.2707,11.6643,78.146
CHENNAI,SHIRDI,62669,24,105,13.0827,80.2707,19.7515,74.4773
CHENNAI,SRINAGAR,5701,24,110,13.0827,80.2707,34.0837,74.7973
CHENNAI,SURAT,27330,24,111,13.0827,80.2707,21.1702,72.8311
CHENNAI,TIRUCHIRAPALLY,93800,24,114,13.0827,80.2707,10.7905,78.7047
CHENNAI,TIRUPATI,76,24,115,13.0827,80.2707,13.6288,79.4192
CHENNAI,TRIVANDRUM,163122,24,116,13.0827,80.2707,8.5241,76.9366
CHENNAI,TUTICORIN,78830,24,117,13.0827,80.2707,8.7642,78.1348
CHENNAI,VADODARA,8143,24,121,13.0827,80.2707,22.3072,73.1812
CHENNAI,VARANASI,60376,24,122,13.0827,80.2707,25.3176,82.9739
CHENNAI,VIJAYAWADA,49794,24,124,13.0827,80.2707,16.5062,80.648
CHENNAI,VISAKHAPATNAM,136153,24,125,13.0827,80.2707,17.6868,83.2185
COIMBATORE,DELHI,201918,25,32,11.0168,76.9558,28.6139,77.209
COIMBATORE,DURGAPUR,730,25,38,11.0168,76.9558,23.5505,87.2885
COIMBATORE,GOA,4708,25,41,11.0168,76.9558,15.2993,74.124
COIMBATORE,GUWAHATI,4289,25,44,11.0168,76.9558,26.1445,91.7362
COIMBATORE,HYDERABAD,200604,25,47,11.0168,76.9558,17.385,78.4867
